MS Zoning,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Sale Type
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,3,3,1,Unf,Unf,GasA,Gd,Y,SBrkr,Fa,Typ,0,Detchd,1938.0,Unf,TA,Fa,N,WD 
RH,Pave,IR2,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,Stucco,None,TA,TA,BrkTil,3,3,1,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,1968.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,2007.0,Unf,TA,TA,Y,New
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Sdng,None,TA,Fa,CBlock,3,3,1,Rec,Unf,GasA,Fa,Y,SBrkr,TA,Typ,0,Detchd,2000.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,3,3,3,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,1,Attchd,1962.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,2,2,1,LwQ,Unf,GasA,TA,N,SBrkr,TA,Typ,0,Detchd,1941.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,3,3,2,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,0,Attchd,1963.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,5,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,BuiltIn,2009.0,Fin,TA,TA,Y,New
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,3,3,1,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,4,Attchd,1964.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,1,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,4,Attchd,1940.0,Unf,TA,TA,Y,CWD
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,3,3,1,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,0,Detchd,1990.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,4,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,3,BuiltIn,2000.0,RFn,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,Gd,BrkTil,3,3,1,Unf,Unf,GasW,TA,N,SBrkr,Gd,Typ,0,Detchd,1930.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,None,TA,TA,PConc,3,3,1,BLQ,LwQ,GasW,TA,N,SBrkr,TA,Typ,0,Detchd,1953.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,Gd,CBlock,3,3,3,ALQ,BLQ,GasA,TA,Y,SBrkr,TA,Typ,3,Attchd,1959.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,3,3,1,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,1961.0,RFn,TA,TA,Y,COD
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,CBlock,4,3,4,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,4,Attchd,1973.0,Fin,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,3,2,1,Unf,Unf,GasA,TA,N,SBrkr,Fa,Typ,0,Detchd,1935.0,Unf,TA,TA,N,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,2002.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,4,3,1,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,3,Attchd,1998.0,Fin,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,None,None,None,None,None,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,TA,Y,FuseA,TA,Typ,0,Detchd,1954.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,CBlock,4,3,1,BLQ,LwQ,GasA,TA,Y,SBrkr,TA,Typ,3,Attchd,1980.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,4,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,2005.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,3,3,1,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,1977.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,5,4,1,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,2006.0,RFn,TA,TA,Y,New
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,3,3,1,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Min1,3,Attchd,1968.0,RFn,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,3,3,3,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,1976.0,Unf,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,Duplex,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Slab,0,0,0,None,None,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,1978.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,TA,TA,PConc,4,3,1,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,1986.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,3,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,BuiltIn,2005.0,Fin,TA,TA,Y,New
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,3,3,3,ALQ,BLQ,GasA,TA,Y,SBrkr,TA,Typ,3,Detchd,1976.0,Unf,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,AsbShng,None,TA,TA,PConc,3,3,1,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,0,Detchd,1971.0,Unf,TA,TA,N,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,3,3,1,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,1972.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,2,3,1,LwQ,Unf,GasA,Ex,N,SBrkr,TA,Typ,0,Detchd,1940.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Attchd,1968.0,RFn,TA,TA,Y,CWD
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,5,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,Attchd,2009.0,Fin,TA,TA,Y,New
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,HdBoard,BrkFace,TA,TA,CBlock,3,3,1,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,4,Attchd,1960.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,Gable,CompShg,Plywood,Plywood,Stone,TA,TA,CBlock,4,3,3,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,3,Detchd,1979.0,Unf,TA,TA,Y,WD 
RH,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,2Story,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,TA,Gd,BrkTil,3,3,1,BLQ,Unf,GasA,TA,N,SBrkr,TA,Typ,0,Detchd,1930.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,3,4,3,LwQ,ALQ,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,1976.0,Unf,TA,TA,Y,WD 
FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Detchd,2000.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,4,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,5,Attchd,2002.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,3,Attchd,2000.0,Fin,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,None,None,None,None,None,N,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,TA,Y,FuseA,Gd,Typ,0,BuiltIn,1954.0,Unf,TA,TA,Y,WD 
C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,3,3,1,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,0,Detchd,1920.0,Unf,TA,Fa,N,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,3,3,1,Unf,Unf,GasA,TA,Y,SBrkr,Gd,Typ,0,None,None,None,None,None,Y,WD 
C (all),Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,Fa,Fa,CBlock,3,3,1,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,0,Detchd,1896.0,RFn,TA,TA,N,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,Gd,CBlock,3,4,1,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,2,Attchd,1987.0,RFn,TA,Gd,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,3,3,1,ALQ,Rec,GasA,Ex,Y,SBrkr,TA,Typ,4,Detchd,1966.0,Fin,Ex,Ex,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,BrkTil,3,3,1,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,4,Detchd,1940.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,Stone,Ex,TA,PConc,5,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,Attchd,2007.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Bnk,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,Gd,CBlock,3,3,1,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,4,Attchd,1937.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,4,3,3,BLQ,ALQ,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,1983.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,4,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,2006.0,RFn,TA,TA,Y,New
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,0,Attchd,1996.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,BrkTil,3,3,1,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,4,Detchd,1992.0,Unf,TA,TA,Y,CWD
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,3,Attchd,1998.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,4,3,1,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Detchd,2006.0,Unf,TA,TA,Y,New
RL,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,4,3,3,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,2007.0,RFn,TA,TA,Y,New
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,BrkTil,4,3,1,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,3,Detchd,1939.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,RRAn,Norm,2fmCon,1Story,Hip,CompShg,BrkFace,VinylSd,None,TA,Gd,PConc,3,3,2,ALQ,BLQ,GasA,Ex,Y,SBrkr,Gd,Min1,3,Attchd,1965.0,RFn,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,4,3,2,Rec,Unf,GasW,Fa,N,SBrkr,TA,Typ,3,Detchd,1914.0,Unf,TA,TA,N,WD 
C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,Fa,Fa,CBlock,3,3,2,Unf,Unf,GasA,TA,N,SBrkr,TA,Min2,0,None,None,None,None,None,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,3,3,3,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,2,Attchd,1978.0,Unf,TA,TA,Y,WD 
RL,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,1,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,3,BuiltIn,1999.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,3,Attchd,1993.0,RFn,TA,TA,Y,WD 
FV,Pave,IR2,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Detchd,2004.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,2002.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,2,1,Rec,Unf,GasA,TA,N,FuseF,Fa,Typ,0,Detchd,1930.0,Unf,TA,TA,N,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,4,4,4,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,BuiltIn,1976.0,RFn,Fa,TA,Y,WD 
RL,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,4,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,BuiltIn,2003.0,RFn,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,4,3,1,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,0,Attchd,1992.0,RFn,TA,TA,Y,WD 
RH,Pave,Reg,Bnk,AllPub,Corner,Gtl,SWISU,Feedr,Norm,2fmCon,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,3,BLQ,Unf,GasA,TA,N,FuseF,TA,Typ,0,Attchd,1945.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,0,0,0,None,None,GasA,TA,N,FuseP,Fa,Typ,0,None,None,None,None,None,N,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,3,3,1,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,4,Attchd,1966.0,Unf,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,3,3,1,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,1930.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,4,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,2007.0,Fin,TA,TA,Y,New
RL,Pave,IR1,Lvl,AllPub,FR2,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,4,3,4,ALQ,Unf,GasW,TA,Y,SBrkr,TA,Mod,0,2Types,1969.0,Unf,TA,TA,N,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,3,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Attchd,1983.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,BrkFace,TA,TA,BrkTil,3,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,4,Attchd,1921.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,3,3,1,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,0,Attchd,1972.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,2fmCon,SFoyer,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,3,3,3,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,None,None,None,None,None,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,3,Attchd,1970.0,RFn,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,3,Attchd,2000.0,RFn,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,4,3,2,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,3,Attchd,1998.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,2005.0,Fin,TA,TA,Y,WD 
